coach_name,coach_id,class_start_time,class_day_of_week,class_date,class_type,muscle_focus_upper,muscle_focus_lower,client_name,client_id,subscription_plan
Phoenix Green,C012,05:00,Friday,2025-11-14,Focus,Shoulders,Center Glutes,Emery Morgan,CL080,8_per_month
Riley Chen,C009,14:45,Sunday,2025-11-16,Foundation,Back,Outer Glutes,Emery Morgan,CL080,8_per_month
Finley Yaroslavsky,C003,10:30,Monday,2025-11-17,Foundation,Shoulders,Center Glutes,Emery Morgan,CL080,8_per_month
Tylor Tquinn,C007,21:30,Thursday,2025-11-27,Focus,Triceps,Center Glutes,Emery Morgan,CL080,8_per_month
Jon Flynn,C014,14:30,Friday,2025-11-28,Advanced,Back,Hamstrings,Emery Morgan,CL080,8_per_month
Alex Blake,C008,20:30,Sunday,2025-11-30,Foundation,Back,Hamstrings,Emery Morgan,CL080,8_per_month
Finley Yaroslavsky,C003,10:15,Friday,2025-12-05,Foundation,Shoulders,Leg Wrap,Emery Morgan,CL080,8_per_month
Morgan Patel,C010,16:15,Wednesday,2025-12-10,Foundation,Arm Wrap,Outer Glutes,Emery Morgan,CL080,8_per_month
Morgan Patel,C010,19:00,Friday,2025-12-12,Focus,Biceps,Leg Wrap,Emery Morgan,CL080,8_per_month
Phoenix Green,C012,12:30,Sunday,2025-12-14,Focus,Shoulders,Center Glutes,Emery Morgan,CL080,8_per_month
Morgan Patel,C010,12:00,Monday,2025-12-15,Foundation,Arm Wrap,Outer Glutes,Emery Morgan,CL080,8_per_month
Morgan Patel,C010,12:45,Tuesday,2025-12-16,Focus,Biceps,Center Glutes,Emery Morgan,CL080,8_per_month
Finley Yaroslavsky,C003,12:00,Thursday,2025-12-18,Advanced,Triceps,Outer Glutes,Emery Morgan,CL080,8_per_month
Casey Hugh,C004,14:45,Tuesday,2025-01-07,Advanced,Shoulders,Hamstrings,Emery Shah,CL081,4_per_month
Hayden Klo,C001,18:30,Wednesday,2025-01-15,Advanced,Triceps,Hamstrings,Emery Shah,CL081,4_per_month
Alex Blake,C008,18:30,Friday,2025-01-24,Foundation,Shoulders,Leg Wrap,Emery Shah,CL081,4_per_month
Alex Blake,C008,12:00,Tuesday,2025-02-18,Focus,Shoulders,Outer Glutes,Emery Shah,CL081,4_per_month
Riley Chen,C009,08:30,Wednesday,2025-02-19,Focus,Triceps,Hamstrings,Emery Shah,CL081,4_per_month
Morgan Patel,C010,21:15,Friday,2025-02-21,Focus,Shoulders,Center Glutes,Emery Shah,CL081,4_per_month
Avery Harve,C002,05:45,Saturday,2025-02-22,Foundation,Triceps,Center Glutes,Emery Shah,CL081,4_per_month
Phoenix Green,C012,16:30,Tuesday,2025-03-04,Foundation,Arm Wrap,Leg Wrap,Emery Shah,CL081,4_per_month
Alex Blake,C008,14:00,Sunday,2025-03-30,Focus,Shoulders,Center Glutes,Emery Shah,CL081,4_per_month
Riley Chen,C009,21:00,Thursday,2025-04-03,Foundation,Arm Wrap,Center Glutes,Emery Shah,CL081,4_per_month
Jon Flynn,C014,09:45,Saturday,2025-04-12,Advanced,Arm Wrap,Hamstrings,Emery Shah,CL081,4_per_month
Benton Watts,C006,17:15,Sunday,2025-05-04,Focus,Triceps,Hamstrings,Emery Shah,CL081,4_per_month
Hayden Klo,C001,17:00,Wednesday,2025-05-07,Foundation,Arm Wrap,Leg Wrap,Emery Shah,CL081,4_per_month
Tylor Tquinn,C007,20:45,Saturday,2025-05-17,Focus,Triceps,Outer Glutes,Emery Shah,CL081,4_per_month
Casey Hugh,C004,15:15,Wednesday,2025-05-21,Advanced,Back,Hamstrings,Emery Shah,CL081,4_per_month
Alex Blake,C008,07:00,Tuesday,2025-06-03,Focus,Biceps,Hamstrings,Emery Shah,CL081,4_per_month
Alex Blake,C008,08:00,Tuesday,2025-06-10,Advanced,Shoulders,Hamstrings,Emery Shah,CL081,4_per_month
Finley Yaroslavsky,C003,15:45,Friday,2025-06-20,Foundation,Biceps,Leg Wrap,Emery Shah,CL081,4_per_month
Finley Yaroslavsky,C003,12:00,Monday,2025-06-23,Advanced,Biceps,Outer Glutes,Emery Shah,CL081,4_per_month
Riley Chen,C009,06:30,Wednesday,2025-06-25,Focus,Triceps,Hamstrings,Emery Shah,CL081,4_per_month
Kendall Jones,C015,07:45,Friday,2025-06-27,Foundation,Arm Wrap,Leg Wrap,Emery Shah,CL081,4_per_month
Jon Flynn,C014,07:00,Monday,2025-07-07,Focus,Shoulders,Center Glutes,Emery Shah,CL081,4_per_month
Jon Flynn,C014,05:00,Wednesday,2025-07-09,Focus,Shoulders,Hamstrings,Emery Shah,CL081,4_per_month
Benton Watts,C006,05:30,Sunday,2025-07-13,Foundation,Triceps,Outer Glutes,Emery Shah,CL081,4_per_month
Morgan Patel,C010,11:00,Monday,2025-07-21,Focus,Biceps,Leg Wrap,Emery Shah,CL081,4_per_month
Finley Yaroslavsky,C003,16:30,Friday,2025-07-25,Advanced,Arm Wrap,Center Glutes,Emery Shah,CL081,4_per_month
Casey Hugh,C004,13:00,Sunday,2025-07-27,Foundation,Arm Wrap,Outer Glutes,Emery Shah,CL081,4_per_month
Jon Flynn,C014,18:30,Friday,2025-08-01,Advanced,Shoulders,Leg Wrap,Emery Shah,CL081,4_per_month
Sydney Romero,C011,17:15,Friday,2025-08-15,Focus,Triceps,Hamstrings,Emery Shah,CL081,4_per_month
Tylor Tquinn,C007,08:15,Saturday,2025-08-23,Foundation,Triceps,Hamstrings,Emery Shah,CL081,4_per_month
Dette Ellis,C013,14:00,Friday,2025-08-29,Advanced,Biceps,Leg Wrap,Emery Shah,CL081,4_per_month
Sydney Romero,C011,21:30,Tuesday,2025-09-09,Foundation,Triceps,Leg Wrap,Emery Shah,CL081,4_per_month
Finley Yaroslavsky,C003,09:15,Friday,2025-09-12,Focus,Shoulders,Center Glutes,Emery Shah,CL081,4_per_month
Sydney Romero,C011,05:15,Monday,2025-09-15,Foundation,Arm Wrap,Center Glutes,Emery Shah,CL081,4_per_month
Dette Ellis,C013,18:45,Thursday,2025-09-18,Foundation,Biceps,Center Glutes,Emery Shah,CL081,4_per_month
Morgan Patel,C010,11:30,Wednesday,2025-09-24,Foundation,Triceps,Outer Glutes,Emery Shah,CL081,4_per_month
Kendall Jones,C015,08:00,Thursday,2025-09-25,Focus,Shoulders,Outer Glutes,Emery Shah,CL081,4_per_month
Sydney Romero,C011,09:00,Saturday,2025-09-27,Focus,Arm Wrap,Hamstrings,Emery Shah,CL081,4_per_month
Phoenix Green,C012,13:30,Tuesday,2025-10-07,Foundation,Shoulders,Leg Wrap,Emery Shah,CL081,4_per_month
Hayden Klo,C001,21:30,Tuesday,2025-10-14,Foundation,Shoulders,Outer Glutes,Emery Shah,CL081,4_per_month
Casey Hugh,C004,15:15,Thursday,2025-11-06,Focus,Back,Center Glutes,Emery Shah,CL081,4_per_month
Finley Yaroslavsky,C003,14:45,Saturday,2025-11-08,Focus,Back,Hamstrings,Emery Shah,CL081,4_per_month
Finley Yaroslavsky,C003,10:30,Saturday,2025-11-15,Advanced,Biceps,Outer Glutes,Emery Shah,CL081,4_per_month
Hayden Klo,C001,10:15,Wednesday,2025-11-26,Focus,Shoulders,Outer Glutes,Emery Shah,CL081,4_per_month
Alex Blake,C008,08:15,Monday,2025-12-01,Advanced,Arm Wrap,Outer Glutes,Emery Shah,CL081,4_per_month
Riley Chen,C009,20:45,Friday,2025-12-05,Focus,Biceps,Hamstrings,Emery Shah,CL081,4_per_month
Finley Yaroslavsky,C003,07:15,Sunday,2025-12-07,Advanced,Arm Wrap,Leg Wrap,Emery Shah,CL081,4_per_month
Phoenix Green,C012,14:00,Monday,2025-12-08,Focus,Biceps,Outer Glutes,Emery Shah,CL081,4_per_month
Finley Yaroslavsky,C003,06:15,Tuesday,2025-12-09,Foundation,Back,Center Glutes,Emery Shah,CL081,4_per_month
Sydney Romero,C011,11:30,Saturday,2025-12-13,Foundation,Biceps,Outer Glutes,Emery Shah,CL081,4_per_month
Casey Hugh,C004,17:45,Thursday,2025-01-02,Focus,Triceps,Hamstrings,Emery Young,CL082,8_per_month
Tylor Tquinn,C007,15:45,Saturday,2025-01-04,Focus,Triceps,Leg Wrap,Emery Young,CL082,8_per_month
Morgan Patel,C010,20:30,Sunday,2025-01-05,Advanced,Arm Wrap,Hamstrings,Emery Young,CL082,8_per_month
Phoenix Green,C012,14:30,Wednesday,2025-01-08,Advanced,Triceps,Hamstrings,Emery Young,CL082,8_per_month
Phoenix Green,C012,10:45,Saturday,2025-01-11,Focus,Biceps,Center Glutes,Emery Young,CL082,8_per_month
Jon Flynn,C014,15:30,Tuesday,2025-01-14,Advanced,Biceps,Hamstrings,Emery Young,CL082,8_per_month
Avery Harve,C002,21:45,Saturday,2025-01-18,Foundation,Shoulders,Center Glutes,Emery Young,CL082,8_per_month
Casey Hugh,C004,12:30,Wednesday,2025-01-22,Foundation,Back,Leg Wrap,Emery Young,CL082,8_per_month
Morgan Patel,C010,07:00,Friday,2025-01-24,Foundation,Arm Wrap,Center Glutes,Emery Young,CL082,8_per_month
Riley Chen,C009,10:30,Sunday,2025-01-26,Focus,Shoulders,Center Glutes,Emery Young,CL082,8_per_month
Hayden Klo,C001,16:30,Friday,2025-01-31,Focus,Arm Wrap,Leg Wrap,Emery Young,CL082,8_per_month
Avery Harve,C002,10:45,Sunday,2025-02-02,Focus,Triceps,Leg Wrap,Emery Young,CL082,8_per_month
Alex Blake,C008,16:15,Sunday,2025-02-09,Foundation,Biceps,Hamstrings,Emery Young,CL082,8_per_month
Devon Knight,C005,16:45,Wednesday,2025-02-12,Foundation,Back,Hamstrings,Emery Young,CL082,8_per_month
Casey Hugh,C004,14:30,Thursday,2025-02-13,Focus,Triceps,Leg Wrap,Emery Young,CL082,8_per_month
Benton Watts,C006,09:15,Friday,2025-02-14,Focus,Biceps,Leg Wrap,Emery Young,CL082,8_per_month
Morgan Patel,C010,14:45,Sunday,2025-02-16,Focus,Triceps,Center Glutes,Emery Young,CL082,8_per_month
Alex Blake,C008,18:30,Friday,2025-02-21,Focus,Shoulders,Leg Wrap,Emery Young,CL082,8_per_month
Finley Yaroslavsky,C003,13:15,Saturday,2025-02-22,Foundation,Triceps,Outer Glutes,Emery Young,CL082,8_per_month
Avery Harve,C002,14:45,Monday,2025-02-24,Focus,Back,Center Glutes,Emery Young,CL082,8_per_month
Morgan Patel,C010,11:15,Thursday,2025-02-27,Foundation,Biceps,Leg Wrap,Emery Young,CL082,8_per_month
Morgan Patel,C010,06:15,Thursday,2025-03-06,Foundation,Arm Wrap,Center Glutes,Emery Young,CL082,8_per_month
Phoenix Green,C012,21:45,Friday,2025-03-07,Focus,Triceps,Outer Glutes,Emery Young,CL082,8_per_month
Dette Ellis,C013,19:45,Saturday,2025-03-08,Advanced,Shoulders,Hamstrings,Emery Young,CL082,8_per_month
Finley Yaroslavsky,C003,05:45,Monday,2025-03-10,Foundation,Arm Wrap,Leg Wrap,Emery Young,CL082,8_per_month
Tylor Tquinn,C007,13:30,Tuesday,2025-03-11,Advanced,Back,Hamstrings,Emery Young,CL082,8_per_month
Tylor Tquinn,C007,20:00,Sunday,2025-03-16,Focus,Shoulders,Leg Wrap,Emery Young,CL082,8_per_month
Phoenix Green,C012,08:30,Thursday,2025-03-20,Foundation,Back,Center Glutes,Emery Young,CL082,8_per_month
Devon Knight,C005,05:30,Friday,2025-03-21,Advanced,Arm Wrap,Leg Wrap,Emery Young,CL082,8_per_month
Morgan Patel,C010,14:30,Sunday,2025-03-23,Focus,Arm Wrap,Leg Wrap,Emery Young,CL082,8_per_month
Kendall Jones,C015,20:30,Tuesday,2025-03-25,Foundation,Arm Wrap,Outer Glutes,Emery Young,CL082,8_per_month
Finley Yaroslavsky,C003,09:45,Sunday,2025-03-30,Foundation,Triceps,Outer Glutes,Emery Young,CL082,8_per_month
Jon Flynn,C014,21:15,Sunday,2025-04-06,Focus,Arm Wrap,Leg Wrap,Emery Young,CL082,8_per_month
Hayden Klo,C001,12:30,Friday,2025-04-11,Focus,Triceps,Hamstrings,Emery Young,CL082,8_per_month
Kendall Jones,C015,07:00,Thursday,2025-04-17,Foundation,Triceps,Hamstrings,Emery Young,CL082,8_per_month
Devon Knight,C005,17:00,Tuesday,2025-04-22,Advanced,Arm Wrap,Hamstrings,Emery Young,CL082,8_per_month
Riley Chen,C009,16:30,Sunday,2025-04-27,Focus,Back,Center Glutes,Emery Young,CL082,8_per_month
Kendall Jones,C015,10:45,Wednesday,2025-04-30,Advanced,Biceps,Leg Wrap,Emery Young,CL082,8_per_month
Devon Knight,C005,09:30,Thursday,2025-05-01,Advanced,Shoulders,Leg Wrap,Emery Young,CL082,8_per_month
Casey Hugh,C004,15:30,Friday,2025-05-02,Focus,Shoulders,Outer Glutes,Emery Young,CL082,8_per_month
Finley Yaroslavsky,C003,21:15,Saturday,2025-05-03,Foundation,Triceps,Outer Glutes,Emery Young,CL082,8_per_month
Dette Ellis,C013,21:45,Sunday,2025-05-11,Foundation,Back,Leg Wrap,Emery Young,CL082,8_per_month
Riley Chen,C009,18:30,Wednesday,2025-05-14,Advanced,Back,Outer Glutes,Emery Young,CL082,8_per_month
Avery Harve,C002,10:00,Thursday,2025-05-15,Foundation,Triceps,Center Glutes,Emery Young,CL082,8_per_month
Hayden Klo,C001,16:15,Saturday,2025-05-17,Advanced,Arm Wrap,Center Glutes,Emery Young,CL082,8_per_month
Finley Yaroslavsky,C003,19:15,Sunday,2025-05-18,Foundation,Biceps,Center Glutes,Emery Young,CL082,8_per_month
Devon Knight,C005,11:45,Sunday,2025-05-25,Foundation,Biceps,Center Glutes,Emery Young,CL082,8_per_month
Hayden Klo,C001,15:45,Friday,2025-05-30,Foundation,Shoulders,Hamstrings,Emery Young,CL082,8_per_month
Morgan Patel,C010,18:30,Monday,2025-06-02,Focus,Triceps,Center Glutes,Emery Young,CL082,8_per_month
Morgan Patel,C010,13:15,Monday,2025-06-09,Advanced,Back,Outer Glutes,Emery Young,CL082,8_per_month
Tylor Tquinn,C007,06:00,Tuesday,2025-06-10,Focus,Shoulders,Outer Glutes,Emery Young,CL082,8_per_month
Riley Chen,C009,18:45,Thursday,2025-06-12,Advanced,Shoulders,Outer Glutes,Emery Young,CL082,8_per_month
Casey Hugh,C004,09:30,Monday,2025-06-16,Focus,Triceps,Hamstrings,Emery Young,CL082,8_per_month
Morgan Patel,C010,11:00,Tuesday,2025-06-17,Foundation,Shoulders,Leg Wrap,Emery Young,CL082,8_per_month
Jon Flynn,C014,11:15,Friday,2025-06-20,Foundation,Arm Wrap,Hamstrings,Emery Young,CL082,8_per_month
Dette Ellis,C013,17:00,Saturday,2025-06-21,Focus,Shoulders,Outer Glutes,Emery Young,CL082,8_per_month
Finley Yaroslavsky,C003,11:45,Tuesday,2025-06-24,Focus,Shoulders,Leg Wrap,Emery Young,CL082,8_per_month
Sydney Romero,C011,11:45,Friday,2025-06-27,Foundation,Arm Wrap,Center Glutes,Emery Young,CL082,8_per_month
Benton Watts,C006,05:45,Sunday,2025-06-29,Foundation,Shoulders,Leg Wrap,Emery Young,CL082,8_per_month
Tylor Tquinn,C007,17:15,Wednesday,2025-07-02,Focus,Biceps,Center Glutes,Emery Young,CL082,8_per_month
Casey Hugh,C004,08:15,Saturday,2025-07-05,Advanced,Biceps,Hamstrings,Emery Young,CL082,8_per_month
Kendall Jones,C015,10:15,Wednesday,2025-07-09,Advanced,Triceps,Hamstrings,Emery Young,CL082,8_per_month
Avery Harve,C002,06:15,Thursday,2025-07-10,Focus,Back,Hamstrings,Emery Young,CL082,8_per_month
Kendall Jones,C015,05:30,Friday,2025-07-11,Focus,Shoulders,Hamstrings,Emery Young,CL082,8_per_month
Alex Blake,C008,06:00,Sunday,2025-07-13,Foundation,Biceps,Outer Glutes,Emery Young,CL082,8_per_month
Dette Ellis,C013,19:15,Monday,2025-07-14,Focus,Shoulders,Outer Glutes,Emery Young,CL082,8_per_month
Morgan Patel,C010,05:00,Thursday,2025-07-24,Foundation,Biceps,Hamstrings,Emery Young,CL082,8_per_month
Morgan Patel,C010,09:00,Saturday,2025-07-26,Foundation,Biceps,Center Glutes,Emery Young,CL082,8_per_month
Hayden Klo,C001,14:30,Sunday,2025-07-27,Advanced,Triceps,Leg Wrap,Emery Young,CL082,8_per_month
Avery Harve,C002,07:15,Saturday,2025-08-02,Focus,Back,Hamstrings,Emery Young,CL082,8_per_month
Casey Hugh,C004,18:45,Sunday,2025-08-10,Focus,Back,Hamstrings,Emery Young,CL082,8_per_month
Riley Chen,C009,09:45,Monday,2025-08-11,Focus,Arm Wrap,Hamstrings,Emery Young,CL082,8_per_month
Riley Chen,C009,05:00,Saturday,2025-08-16,Focus,Biceps,Hamstrings,Emery Young,CL082,8_per_month
Riley Chen,C009,11:15,Monday,2025-08-18,Advanced,Shoulders,Hamstrings,Emery Young,CL082,8_per_month
Phoenix Green,C012,17:00,Wednesday,2025-08-20,Foundation,Arm Wrap,Outer Glutes,Emery Young,CL082,8_per_month
Alex Blake,C008,18:00,Thursday,2025-08-21,Focus,Triceps,Center Glutes,Emery Young,CL082,8_per_month
Avery Harve,C002,15:00,Saturday,2025-08-23,Focus,Arm Wrap,Leg Wrap,Emery Young,CL082,8_per_month
Tylor Tquinn,C007,14:15,Sunday,2025-08-24,Advanced,Back,Hamstrings,Emery Young,CL082,8_per_month
Finley Yaroslavsky,C003,12:00,Friday,2025-08-29,Focus,Shoulders,Outer Glutes,Emery Young,CL082,8_per_month
Sydney Romero,C011,21:00,Tuesday,2025-09-02,Advanced,Shoulders,Hamstrings,Emery Young,CL082,8_per_month
Casey Hugh,C004,09:15,Wednesday,2025-09-03,Focus,Shoulders,Outer Glutes,Emery Young,CL082,8_per_month
Phoenix Green,C012,19:15,Friday,2025-09-05,Advanced,Arm Wrap,Outer Glutes,Emery Young,CL082,8_per_month
Devon Knight,C005,08:00,Sunday,2025-09-07,Focus,Back,Hamstrings,Emery Young,CL082,8_per_month
Devon Knight,C005,13:30,Wednesday,2025-09-17,Foundation,Biceps,Center Glutes,Emery Young,CL082,8_per_month
Devon Knight,C005,09:30,Friday,2025-09-19,Focus,Triceps,Leg Wrap,Emery Young,CL082,8_per_month
Dette Ellis,C013,20:30,Sunday,2025-09-21,Focus,Shoulders,Center Glutes,Emery Young,CL082,8_per_month
Hayden Klo,C001,09:15,Monday,2025-09-22,Focus,Back,Hamstrings,Emery Young,CL082,8_per_month
Avery Harve,C002,06:00,Tuesday,2025-09-23,Foundation,Arm Wrap,Leg Wrap,Emery Young,CL082,8_per_month
Hayden Klo,C001,14:15,Friday,2025-09-26,Focus,Shoulders,Hamstrings,Emery Young,CL082,8_per_month
Jon Flynn,C014,14:15,Wednesday,2025-10-01,Foundation,Triceps,Center Glutes,Emery Young,CL082,8_per_month
Casey Hugh,C004,08:00,Friday,2025-10-03,Advanced,Biceps,Center Glutes,Emery Young,CL082,8_per_month
Jon Flynn,C014,14:30,Sunday,2025-10-05,Advanced,Back,Center Glutes,Emery Young,CL082,8_per_month
Dette Ellis,C013,19:45,Friday,2025-10-10,Advanced,Back,Center Glutes,Emery Young,CL082,8_per_month
Avery Harve,C002,20:45,Wednesday,2025-10-22,Focus,Shoulders,Hamstrings,Emery Young,CL082,8_per_month
Morgan Patel,C010,18:15,Friday,2025-10-24,Focus,Arm Wrap,Outer Glutes,Emery Young,CL082,8_per_month
Finley Yaroslavsky,C003,20:30,Wednesday,2025-10-29,Advanced,Back,Leg Wrap,Emery Young,CL082,8_per_month
Hayden Klo,C001,21:15,Sunday,2025-11-02,Foundation,Back,Hamstrings,Emery Young,CL082,8_per_month
Casey Hugh,C004,06:45,Monday,2025-11-03,Foundation,Arm Wrap,Center Glutes,Emery Young,CL082,8_per_month
Tylor Tquinn,C007,10:30,Monday,2025-11-10,Advanced,Triceps,Hamstrings,Emery Young,CL082,8_per_month
Kendall Jones,C015,21:00,Sunday,2025-11-23,Advanced,Triceps,Center Glutes,Emery Young,CL082,8_per_month
Hayden Klo,C001,16:30,Monday,2025-11-24,Focus,Arm Wrap,Outer Glutes,Emery Young,CL082,8_per_month
Jon Flynn,C014,06:30,Sunday,2025-11-30,Focus,Back,Outer Glutes,Emery Young,CL082,8_per_month
Jon Flynn,C014,05:45,Monday,2025-12-01,Focus,Shoulders,Outer Glutes,Emery Young,CL082,8_per_month
Kendall Jones,C015,09:45,Wednesday,2025-12-03,Foundation,Biceps,Outer Glutes,Emery Young,CL082,8_per_month
Devon Knight,C005,08:15,Thursday,2025-12-04,Foundation,Biceps,Outer Glutes,Emery Young,CL082,8_per_month
Riley Chen,C009,06:15,Friday,2025-12-05,Focus,Arm Wrap,Leg Wrap,Emery Young,CL082,8_per_month
Casey Hugh,C004,20:45,Monday,2025-12-08,Foundation,Biceps,Hamstrings,Emery Young,CL082,8_per_month
Jon Flynn,C014,11:30,Tuesday,2025-12-09,Focus,Biceps,Outer Glutes,Emery Young,CL082,8_per_month
Dette Ellis,C013,05:45,Saturday,2025-12-13,Foundation,Triceps,Leg Wrap,Emery Young,CL082,8_per_month
Phoenix Green,C012,16:45,Tuesday,2025-12-16,Advanced,Back,Hamstrings,Emery Young,CL082,8_per_month
Finley Yaroslavsky,C003,21:45,Wednesday,2025-12-17,Advanced,Triceps,Leg Wrap,Emery Young,CL082,8_per_month
Tylor Tquinn,C007,08:30,Friday,2025-12-19,Foundation,Triceps,Hamstrings,Emery Young,CL082,8_per_month
Jon Flynn,C014,14:30,Saturday,2025-01-04,Focus,Shoulders,Outer Glutes,Emery Hayes,CL083,8_per_month
Sydney Romero,C011,18:30,Sunday,2025-01-05,Focus,Biceps,Hamstrings,Emery Hayes,CL083,8_per_month
Hayden Klo,C001,13:00,Friday,2025-01-10,Foundation,Arm Wrap,Outer Glutes,Emery Hayes,CL083,8_per_month
Riley Chen,C009,07:00,Friday,2025-01-17,Foundation,Back,Outer Glutes,Emery Hayes,CL083,8_per_month
Casey Hugh,C004,15:00,Sunday,2025-01-19,Advanced,Shoulders,Hamstrings,Emery Hayes,CL083,8_per_month
Morgan Patel,C010,09:30,Tuesday,2025-01-21,Advanced,Back,Leg Wrap,Emery Hayes,CL083,8_per_month
Phoenix Green,C012,13:00,Thursday,2025-01-23,Advanced,Triceps,Hamstrings,Emery Hayes,CL083,8_per_month
Alex Blake,C008,11:15,Saturday,2025-01-25,Foundation,Biceps,Hamstrings,Emery Hayes,CL083,8_per_month
Phoenix Green,C012,21:45,Monday,2025-01-27,Focus,Triceps,Outer Glutes,Emery Hayes,CL083,8_per_month
Tylor Tquinn,C007,15:00,Wednesday,2025-01-29,Advanced,Biceps,Leg Wrap,Emery Hayes,CL083,8_per_month
Sydney Romero,C011,05:30,Friday,2025-01-31,Foundation,Triceps,Center Glutes,Emery Hayes,CL083,8_per_month
Dette Ellis,C013,13:45,Monday,2025-02-03,Foundation,Back,Hamstrings,Emery Hayes,CL083,8_per_month
Sydney Romero,C011,16:00,Wednesday,2025-02-05,Foundation,Arm Wrap,Hamstrings,Emery Hayes,CL083,8_per_month
Hayden Klo,C001,08:30,Thursday,2025-02-06,Foundation,Shoulders,Hamstrings,Emery Hayes,CL083,8_per_month
Devon Knight,C005,05:00,Friday,2025-02-07,Focus,Shoulders,Leg Wrap,Emery Hayes,CL083,8_per_month
Dette Ellis,C013,18:00,Wednesday,2025-02-12,Foundation,Arm Wrap,Hamstrings,Emery Hayes,CL083,8_per_month
Dette Ellis,C013,08:45,Saturday,2025-02-15,Advanced,Triceps,Center Glutes,Emery Hayes,CL083,8_per_month
Casey Hugh,C004,10:00,Wednesday,2025-02-19,Foundation,Biceps,Hamstrings,Emery Hayes,CL083,8_per_month
Jon Flynn,C014,19:30,Thursday,2025-02-20,Foundation,Shoulders,Outer Glutes,Emery Hayes,CL083,8_per_month
Finley Yaroslavsky,C003,17:00,Saturday,2025-02-22,Advanced,Biceps,Outer Glutes,Emery Hayes,CL083,8_per_month
Hayden Klo,C001,06:00,Sunday,2025-02-23,Foundation,Back,Hamstrings,Emery Hayes,CL083,8_per_month
Alex Blake,C008,15:00,Friday,2025-02-28,Focus,Triceps,Leg Wrap,Emery Hayes,CL083,8_per_month
Morgan Patel,C010,20:30,Saturday,2025-03-01,Advanced,Shoulders,Outer Glutes,Emery Hayes,CL083,8_per_month
Jon Flynn,C014,09:15,Sunday,2025-03-02,Foundation,Back,Leg Wrap,Emery Hayes,CL083,8_per_month
Phoenix Green,C012,10:45,Wednesday,2025-03-05,Foundation,Arm Wrap,Outer Glutes,Emery Hayes,CL083,8_per_month
Morgan Patel,C010,09:30,Thursday,2025-03-06,Foundation,Biceps,Outer Glutes,Emery Hayes,CL083,8_per_month
Kendall Jones,C015,14:45,Sunday,2025-03-09,Focus,Back,Hamstrings,Emery Hayes,CL083,8_per_month
Alex Blake,C008,18:15,Sunday,2025-03-16,Focus,Biceps,Leg Wrap,Emery Hayes,CL083,8_per_month
Benton Watts,C006,16:00,Monday,2025-03-17,Advanced,Triceps,Center Glutes,Emery Hayes,CL083,8_per_month
Hayden Klo,C001,13:30,Tuesday,2025-03-18,Advanced,Biceps,Hamstrings,Emery Hayes,CL083,8_per_month
Hayden Klo,C001,14:15,Saturday,2025-03-22,Foundation,Triceps,Leg Wrap,Emery Hayes,CL083,8_per_month
Benton Watts,C006,21:15,Monday,2025-03-24,Focus,Back,Center Glutes,Emery Hayes,CL083,8_per_month
Sydney Romero,C011,05:15,Friday,2025-04-04,Focus,Biceps,Leg Wrap,Emery Hayes,CL083,8_per_month
Hayden Klo,C001,08:00,Monday,2025-04-07,Foundation,Arm Wrap,Leg Wrap,Emery Hayes,CL083,8_per_month
Avery Harve,C002,14:00,Tuesday,2025-04-08,Focus,Triceps,Center Glutes,Emery Hayes,CL083,8_per_month
Riley Chen,C009,18:15,Wednesday,2025-04-09,Foundation,Shoulders,Hamstrings,Emery Hayes,CL083,8_per_month
Devon Knight,C005,21:30,Thursday,2025-04-10,Focus,Triceps,Hamstrings,Emery Hayes,CL083,8_per_month
Hayden Klo,C001,15:15,Wednesday,2025-04-16,Foundation,Triceps,Center Glutes,Emery Hayes,CL083,8_per_month
Benton Watts,C006,16:00,Tuesday,2025-04-22,Advanced,Biceps,Hamstrings,Emery Hayes,CL083,8_per_month
Riley Chen,C009,09:00,Tuesday,2025-04-29,Advanced,Arm Wrap,Hamstrings,Emery Hayes,CL083,8_per_month
Alex Blake,C008,12:15,Thursday,2025-05-01,Advanced,Arm Wrap,Outer Glutes,Emery Hayes,CL083,8_per_month
Tylor Tquinn,C007,12:30,Saturday,2025-05-03,Foundation,Biceps,Outer Glutes,Emery Hayes,CL083,8_per_month
Tylor Tquinn,C007,21:45,Sunday,2025-05-11,Foundation,Back,Center Glutes,Emery Hayes,CL083,8_per_month
Finley Yaroslavsky,C003,06:15,Saturday,2025-05-17,Advanced,Biceps,Hamstrings,Emery Hayes,CL083,8_per_month
Riley Chen,C009,12:15,Sunday,2025-05-18,Advanced,Shoulders,Leg Wrap,Emery Hayes,CL083,8_per_month
Devon Knight,C005,13:15,Monday,2025-05-19,Advanced,Biceps,Center Glutes,Emery Hayes,CL083,8_per_month
Phoenix Green,C012,14:00,Wednesday,2025-05-21,Foundation,Triceps,Outer Glutes,Emery Hayes,CL083,8_per_month
Riley Chen,C009,15:15,Thursday,2025-05-22,Foundation,Back,Leg Wrap,Emery Hayes,CL083,8_per_month
Avery Harve,C002,21:30,Sunday,2025-06-01,Focus,Back,Leg Wrap,Emery Hayes,CL083,8_per_month
Jon Flynn,C014,15:00,Wednesday,2025-06-04,Foundation,Back,Hamstrings,Emery Hayes,CL083,8_per_month
Alex Blake,C008,12:45,Sunday,2025-06-08,Focus,Triceps,Leg Wrap,Emery Hayes,CL083,8_per_month
